,description,variety
560,"A bit stiff, this expresses its terroir with accents of earth and clay around muted red fruits. Streaks of sassafras, coconut and vanilla emerge as the wine breathes open. Decant this one for at least an hour or two.",Pinot Noir
561,"A new offering made entirely from estate fruit, this is a selection of the best blocks and barrels of the vintage, with its core component being 90% Howell Mountain Cabernet Sauvignon. The remainder is Zinfandel. Together they provide black color and a whiff of bay leaf and peppercorn, around well-integrated layers of black cherry, vanilla and black tea.",Red Blend
562,"The picturesque name of the wine, the vineyard where God sits, comes from a monopole—a walled property in the hills behind Beaune, wholly owned by the Château de Santenay. Ripe and smooth with an attractive, crisp texture, the wine is ready to drink. A touch of toast gives extra interest.",Chardonnay
563,"Layered aromas and rich but vibrant flavors help this medium-bodied wine stand out. It has a medium color with a brickish rim, while aromas suggest black tea and black cherry. A dry, tangy, but ripe fruit expression on the tongue lingers on the finish.",Pinot Noir
564,"Aromas of earthy, nutty, mature berry fruits come with a hint of raisin and a touch of compost. This saturated Vino de Cádiz is composed of 80% Syrah, with Merlot and Cabernet Sauvignon. It's a heavy wine with flavors of vanilla, burnt wood, blackened spices and stewed berries. The finish tastes peppery, dark and outright woody. Drink through 2019.",Red Blend
565,"This blend from Cádiz features Syrah, Merlot and Cabernet Sauvignon. It's big, ripe and minty on the nose, with hints of animal fur and leather. A blocky, full palate weighs in at 15.5%, while flavors of oak and vanilla blend well with spiced berry fruit. A drying finish tastes mostly of oak. Drink through 2025.",Red Blend
566,"From older vines on the producer's estate, this wine has a depth of richness to the nose and is intensely powerful in gingerbread and Meyer lemon on the medium-bodied palate. Lemony acidity rounds out the finish, flecked in butter.",Chardonnay
567,"There is much buzz about this new Steve and Chrystal Clifton (of Palmina and Brewer-Clifton) project that finds inspiration for wine from music. This orange-mauve-pink rosé is redolent with the familiar Pinot components of cherry, sagebrush and clove. On the palate, iron, graphite and wild herbs spice up the pomegranate fruit. It's very varietally pure.",Pinot Noir
568,"This is a brawny, strongly powerful wine, fully displaying the grip of mountain fruit. Blackberry and black currant complement the tobacco and cedar. Drink now through 2023.",Cabernet Sauvignon
569,"This 100% varietal wine offers plenty of crisp cranberry, currant and restrained red fruit on the palate, the texture soft and supple. A pleasing shock of dark chocolate appears on the finish.",Cabernet Sauvignon
570,"A blend of 60% Montepulciano and 40% Sangiovese, this is a grippy, leathery wine, the fruit sourced from two different sites in the appellation. Black leather, baked and dried plum, and cherry combine on the palate with breadth and length, finishing as if dusted in cocoa.",Red Blend
571,"Red berry, chopped herb, blue flower and menthol all come together on this elegantly structured red. The juicy, accessible palate offers ripe black cherry, crushed raspberry, licorice and a hint of vanilla alongside round tannins. Drink through 2021.",Red Blend
572,"Smoky, oaky, rubbery aromas are sophisticated and inviting. This blend of 90% Garnacha and 10% Carignan feels smooth, but with a healthy pulse. Plum and cherry flavors carry a note of oaky char, while a long, toasty finish offers a complex note of cured meat. Drink through 2020.",Red Blend
573,"From the heart of the Rutherford Bench, this estate-grown wine is a classic version of restraint and elegance, structured in dusty tannin with bursts of cedar, tomato leaf and cassis. Cabernet Franc makes up 8% of the blend, with 3% Merlot. This will benefit from time in the cellar; drink 2020–2023.",Cabernet Sauvignon
574,"Complex and well balanced, this wine shows enticing aromas of fruits, spices and subtle herbs followed by tangy, dry, and slightly lean flavors like cranberry and rhubarb. It will be great with a roast fowl of some kind and should mellow more with time. Best after 2018.",Pinot Noir
575,"Decadent and candied, this is an oaky, well-made wine with richness at its core. Tahitian vanilla, caramel and Meyer lemon give way to more weighty tropical characteristics, making for a ripe, bigger-styled wine.",Chardonnay
576,"This ambitious blend of 60% Sangiovese, 15% Merlot, 15% Petite Sirah and 10% Cabernet Sauvignon largely succeeds, with aromas of tight blueberries, concentrated purple flowers and a touch of crushed peppercorn. The fruit-driven palate is dense with blueberry, tart boysenberry and a dusting of cocoa.",Red Blend
577,"Firm and focused, this lightly spiced effort supports its tart cherry fruit with ample acidity. Hints of toasted coconut build in the finish. A few more years of bottle age should bring further integration.",Pinot Noir
578,"A delicate streak of honeycomb gilds layers of yellow peaches, apples and tangerines in this off-dry Riesling. Its concentrated fruitiness is lip smacking, but it's also quite elegant, reverberating long on a steely strike of acidity and minerality. Drink now through 2020.",Riesling
579,"A nose of wild blackberry and brambles lays the groundwork for a tender dance of fruit and herbal flavors, especially blackberry, pomegranate, eucalyptus and fennel bulb. Mouth-coating tannins dissipate on the finish, joined by a burst of tart pomegranate.",Cabernet Sauvignon
580,"At David Hill, the Winemakers Cuvée is a cut above the reserve. It's a muscular blend of scents and flavors of lavender, cherry and chocolate wrapped into a firm, focused finish.",Pinot Noir
581,"Waxy apple stars in this brisk, approachable white from a single estate-farmed block, the oak briny and salty in toast and honey. Textured and elegantly light bodied, it finishes with a satisfying note of lemon candy.",Chardonnay
582,"A blend of 85% Cabernet Sauvignon with 15% Merlot, this was built to be approachable young. Grapes are sourced from an estate, organically farmed vineyard as well as two neighboring properties, Pickberry and Murray Ranch. Tobacco forms around a juiciness of blackberry and raspberry, giving it a sultry edge, while maintaing soft tannins throughout.",Cabernet Sauvignon
583,"Sourced from the southeastern section of the Rutherford appellation and 100% varietal, this is a seamlessly made wine, luxurious in cherry pie and leather saddle. Tangy acidity meets the dusty tannins head-on, finishing with a burst of orange zest.",Cabernet Sauvignon
584,"This stellar reserve remains one of the finest Chardonnays from Oregon. Meyer lemon, peanut oil, salted nuts, citrus and tangerine combine in a deep and intense palate. Whole-cluster pressed and barrel fermented (but in just 10% new French oak), this delicious, dense and penetrating wine should be consumed now through the early 2020s.",Chardonnay
585,"The most recent of Palliser's Great Dog releases, the 2014 Ted is a full-bodied, muscular wine. Cola, cinnamon and thyme notes mark the nose, while the flavors feature dark cherries and plums, drawing to a lingering close with echoes of mocha and Mexican chocolate. Drink 2020–2028.",Pinot Noir
586,"Wreaths of smoke surround pretty raspberry aromatics. The red and plummy purple-fruit flavors continue, along with some tannic muscle and grip. This is a mix of 667 and Pommard clones—still young and a bit tight.",Pinot Noir
587,"This was the first winery to make a truly white Pinot Noir (back in 2004). Produced exclusively from Pommard clones, it's barrel fermented and aged much like a Chardonnay. Along with great texture and length, there's plenty of acid supporting its palate-pleasing mix of white peach, melon and gooseberry. It finishes with a thread of lightly buttery caramel.",Pinot Noir
588,"Like many of the winery's bottlings, this wine shows rich but balanced concentration. Loamy and fulfilling baked blueberry and blackberry aromas are laced with vanilla. The palate is lavish as well, with strong blueberry syrup, herb and pepper flavors and a caramel touch on the finish.",Cabernet Sauvignon
589,"This new offering, made by Ross Cobb and Katy Wilson, is intended as a “best of the west.” Sourced from several vineyards, it reveals true coastal qualities, with ethereal earthiness and an Old World sensibility. Cloudy in the glass, it shows cranberry, orange, bay leaf and tea flavors as it unwinds.",Pinot Noir
590,"Bryan Babcock makes plenty of more expensive Pinot Noirs, but this appellation blend hits all the right notes and shows off the results of the “pedestular cane suspension” technique he's been using in the vineyard. Wild thyme, sagebrush and bay leaf meet cranberry and slate aromas on the nose. Black raspberry and cranberry flavors lead the earthy palate, accented with nettle and peppercorn.",Pinot Noir
591,"In French, the vineyard name means “the meadow on the mountain,” a fitting name for the site. This is a spicy wine, with a touch of red-hot candy. The pretty cherry fruit is underscored with earth and mineral, and the astringent, tea-flavored tannins morph into a suggestion of cola at the tail end.",Pinot Noir
592,"The top wine from this estate is impressive. It has rich black fruits and firm tannins, showing its youthfulness. Its weight and concentration combine with the ripe fruits to give a wine that is destined for long-term aging. Négrette, Syrah and Cabernet Sauvignon go into this fine blend. Drink it from 2020.",Red Blend
593,"Though labeled Willamette Valley, this is single vineyard Chehalem Mountains AVA fruit. Smooth, ripe and buttery, from sniff to swallow, it's loaded with Satsuma orange, Meyer lemon and pink-grapefruit flavors. The acids snap and the finish lingers, with a streak of vanilla and a slight sensation of heat.",Chardonnay
594,"Off the bat, this smells a bit like fruit punch, although with time it stiffens. A chunky heavy somewhat flat palate tastes of clove, chocolate and berry and plum.",Red Blend
595,"Reduced and dominated by tannin and oak, this large production offering is earthy and spicy, with full-bodied texture and weight. It finishes slightly green.",Pinot Noir
596,Jammy aromas and equally ripe sweet fruit flavors give this wine a candied character. It's full-bodied and feels a little warm on the finish.,Pinot Noir
597,"Sourced entirely from the Otis Harlan Vineyard, these vines were planted about 25 years ago. It's a pleasure to see them singled out for this showcase bottling. It's a rich, oily, nutty, buttery style to be sure, but also dense with ripe apple, pear and peach fruit. The acidity buoys it up throughout a strong, long finish.",Chardonnay
598,"The wine is intense, full in the mouth and rich. The warm, concentrated character brings out both ripe fruits and minerality. The result is a textured wine, tangy and citrus-driven, that also has broad yellow fruits along with the final acidity. Drink from 2016.",Riesling
599,"A classic Napa Valley Chardonnay, this is smooth, rich, balanced and well composed. Flowery aromas of honeysuckle open the way for lemon curd and ripe apple to compete with a depth of crème brûlée character that provides plenty of complexity, with additional accents of honey and spice.",Chardonnay
600,"Kian Tavakoli is the winemaker for this small-production Cabernet Sauvignon with some Merlot, Petit Verdot and Cabernet Franc. A brambly, full-bodied wine, it's concentrated in black fruit with a spicy streak of clove.",Cabernet Sauvignon
601,"From a warm vintage, this blend is ripe yet still balanced, with aromas of prune, blackberry, tree bark and leather. The palate is saturated and broad, boasting flavors of dark, baked, black fruit accented by pepper and chocolate on the finish. Drink now.",Red Blend
602,"Fully creamy and generous in crème brûlée and lemon curd, this dances in acidity and is balanced, the texture silky smooth. Highlights center on fresh-cut Anjou pear, a slice of which would go well with the wine, accompanied by Stilton.",Chardonnay
603,"A sharp brine character gets warmer boosts from underlying pear, nectarine and buttered sourdough aromas. Flavors are light and bright at first, with sandy clay, vanilla cookie and custard strudel emerging on the midpalate and a line of acidity down through the finish.",Chardonnay
604,"Similar in style and aging potential to the winery's 2009, and blended with amounts of Malbec and Petit Verdot, this Cabernet Sauvignon from mighty Howell Mountain is rich in spicy blackberry and clove, the tannins soft and juicy.",Cabernet Sauvignon
605,"A solid wine for the price, this begins with honeydew and lime aromas. Flavors start with a spicy cinnamon apple before diving into buttered squash, melon and fresh lime, with a dash of salt.",Chardonnay
606,"Perfumed and off dry, this rich wine has spice, structure and a floral character. It is so young with its white fruits, hint of lychee and lime-juice acidity. The wine needs to age to reveal its potential. Drink from 2018.",Riesling
607,The new American oak barrel fermentation and aging steals the show on this wine. Notes of vanilla and woodspice overpower the variety's melon and apple aromas and flavors. There are some good things going on but it's hard to get at them.,Chardonnay
608,"Straightforward oak and roasted pear aromas great the nose on this wine from one of the region's central and historic vineyards. Flavors are a little flat at first, but then apple flesh and pear skin bitterness emerge, with citrusy acidity.",Chardonnay
609,"Underbrush, tobacco and spiced plum aromas lead the nose. On the straightforward palate, notes of anise and clove add depth to the black cherry core. It's easy drinking, with lithe tannins.",Red Blend
610,"This lightly aromatic wine offers notes of pear, peach and spice. It's straight down the fairway with appealing stone fruit flavors and a lightly creamy feel.",Chardonnay
611,"Made with 58% Malbec and 42% Syrah, this wine offers alluring aromas of thyme, dried herbs, raspberry and white pepper. It's elegant in style, supple in feel, providing a lot of easy-drinking pleasure.",Red Blend
612,"A kitchen-sink blend of nine different varieties with Merlot (40%) and Syrah (25%) taking the lead, this wine brings an assortment of herbs, blue fruit and woodspice along with light volatile notes. It's full bodied and sweet with abundant cherry flavors backed by grainy tannins.",Red Blend
613,"With 5% Viognier giving it an extra boost, this richly aromatic wine suggests apricot and dried mango. It drinks quite sweet with abundant stone-fruit flavors. Enjoy as an apéritif or digestif.",Riesling
614,"Crisp lemon, fennel and Bosc pear come into play in this medium-bodied Chardonnay, accented by a taste of fig. Taking on depth and breadth as it develops in the glass and on the palate, the wine finishes long and lean.",Chardonnay
615,"Made from organically farmed grapes, this hearty blend of 90% Sangiovese and 10% Canaiolo opens with earthy aromas of violets, iris, mature black fruit and leather. The juicy, ripe palate delivers fleshy black cherry, truffle, tobacco, black pepper and mint alongside solid tannins. It has a meaty, rustic note but it's delicious. Alberello Imports, Ionia Atlantic Imports.",Red Blend
616,"This is a bone-dry, tannic, acidic and tightly wound Cabernet, with a solid core of blackberry aromas and flavors. Stylistically, it plants its flag squarely in favor of elegance, it just needs a little more time to fully integrate.",Cabernet Sauvignon
617,"The vineyard is in the Santa Maria Valley, and has been source for many years of great Pinots for multiple wineries lucky enough to obtain its fruit. The wines always show a similar profile of tannins, brisk acidity, a certain full-bodiedness and plenty of crushed brown spices. In this cool '11 vintage, the wine is particularly tart in cranberries and raspberries. Decant for a few hours before drinking.",Pinot Noir
618,"The winery's top cuvée is notable for its perfume of rose petals with a subtle whiff of body talc. Balanced and feminine, this soft and graceful wine glides across the palate with flavor highlights of cherries and plums. Drink now while it's at its best.",Pinot Noir
619,"Dryness, acidity and minerality mark this Chardonnay. It's elegant, with Meyer lemon, lime and new French oak flavors that bring a rich note of buttered toast. The score is lifted by the wine's balance. Drink now–2018.",Chardonnay
620,"The Napa-ness of this Pinot makes it so interesting. Grown in a warmer climate, it's dry, soft and somewhat herbal, with red currant, cola, tea, cranberry and mushroom notes. It feels complex in the mouth, without the flash and dazzle of more coastal bottlings, but there's a lot going on. Drink now–2017.",Pinot Noir
621,"It takes a certain trust in the ageability of a young Calera Pinot Noir to appreciate it, as evidenced by this bottling. It's dry and tannic, with acid-inflected raspberry jam and oak flavors that show little in the way of complexity. Yet there are earthy, herbal, minerally depths. Granted that the vintage was difficult, this still is a wine to age. Try after 2017.",Pinot Noir
622,"Bright and delicious, this starts with aromas of blue flower, red berries, mint and thyme together with a whiff of leather. The juicy palate offers wild cherry and strawberry accented with cinnamon-spice alongside fresh acidity and firm but fine tannins. Drink now through 2016 to capture the fresh, crunchy berry character.",Red Blend
623,"This 100% Cabernet deserves its reserve status. Compared to the regular 2011, it's richer, with a smoothly tannic mouthfeel framing blackberry, black currant and cedar flavors. It will hold in the bottle until 2018, but there's no reason not to pop the cork now.",Cabernet Sauvignon
624,"Dark in color and deeply flavored, as the name suggests, this blend has evocative blackberry, currant, grilled meat, black pepper and oak flavors. It's also tannic, suggesting cellaring until 2019.",Red Blend
625,"The acidity is like a double squeeze of lime juice. It gets the tastebuds whistling, which allowss the intense lemon, lime and mango flavors to spread across the mouth and sink deep into the palate. This zesty wine needs rich fare. Ahi tuna tartare is perfect.",Chardonnay
626,"Delicately perfumed with notes of lemon, tart stone fruit and white florals, this off-dry Riesling builds in intensity and ripeness on the palate. It's lushly textured, with flavors of fleshy peach and apricot that are brightened by lemon-lime acidity.",Riesling
627,"Lushly textured and expansive on the palate, this dry Riesling melds flavors of waxy lemon skins with notes of rich honey and saffron. The acidity is sunny and bright, highlighting hints of tangerine and lime on the finish.",Riesling
628,"Refreshing aromas of tangerine and lime are laced with petrol on this steely kabinett. Waves of ripe peach and nectarine flavor add delicate sweetness on the palate, accented by savory notes of dried herb and tea leaves. Lemon-lime acidity leads the long finish.",Riesling
629,"Aromas of Key lime skins and lemon bar cookies hide a slight but typical petrol note on this wine from the San Diego County-based producer. It's slightly sour on the citrusy palate, with balanced acidity and a chalky grip.",Riesling
630,"Delicious fruit aromas and flavors define this medium bodied and very smooth blend that is 50% Graciano grapes. Aromas convey floral notes, strawberries and oranges, while the flavors bring more strawberries and cherries. The texture is not light but the wine is still extremely easy to sip.",Red Blend
631,"From a hilltop location near the ocean-influenced town of Freestone, this wine is silky in plum and dark cherry, a hint of mushroomed earth doing its best to come out. Robust on the palate, juicy berry fruit satisfies, finishing thick and rich.",Pinot Noir
632,"A tremendous value, this white is light and floral, soft in honeyed stone fruit and pineapple. A nice minerality buoys the proceedings, a medium-body taking on new strength midway through before letting the wine finish crisp and clean.",Chardonnay
633,"Aromas of underbrush, blue flowers, cooking spice and black plum unfold in the glass. A blend of 50% Sangiovese and 50% Malvasia Nera, the palate reveals dried black cherry, black pepper and anise alongside firm, polished tannins. Drink through 2017.",Red Blend
634,"A blend of 60% Merlot and 40% Cabernet Sauvignon, this sleek wine opens with aromas of red currant, bell pepper and herbs. On the juicy palate, notes of white pepper and clove add interest to crushed strawberry and cassis. Tangy acidity and polished tannins provide the framework.",Red Blend
635,"This opens with damp, rubbery plum aromas. The palate is spunky and offers live-wire acidity, with cherry, raspberry, toast and pepper flavors balancing it out. Speckled black pepper comes on the dry finish.",Pinot Noir
636,"Bruised apricot, lemonade and citrus rind-laden marzipan notes hit the nose on this wine, which is showing just a touch of nutty, honeyed oxidization. The macadamia nut element arises on the palate too, alongside intriguingly peaty flavors reminiscent of Scotch, with almond liqueur on the outro. It presents decent acidity throughout.",Chardonnay
637,"This is a dark and concentrated wine, solid with dark plum skin tannins and a dense structure. A fresher side brings in spice and a tense texture of both freshness and acidity. It should age a couple of years more, so drink from 2017. The estate, about 31 miles from Toulouse along the Tarn river, has a well-recorded history of family ownership over many centuries and is now run by the Faramond family.",Red Blend
638,"This rich, full-bodied wine is packed with ripe, dense blackberry and plum flavors. With firm tannins in the background, it is always going to be dark and solid. Produced on a single vineyard by the local cooperative, it could still age and will be best from 2016.",Red Blend
639,"Aromas of brambly plum and raspberry set up a palate with ripe flavors of black cherry and nutmeg. A baking-spice character carries onto the finish, which turns more soft and candied as it wraps up.",Pinot Noir
640,"A blend of Cabernet Sauvignon, Sangiovese, Merlot and Syrah, this opens with aromas of black currant, pencil shavings, toast and a whiff of pine. Notes of mocha, graphite and anise add depth to the black cherry core alongside chewy but astringent tannins that leave a drying finish. Drink 2016–2018.",Red Blend
641,"Black pepper, anise, boysenberry and a bit of juniper combine for a slightly funky, somewhat reductive nose on this blend of 46% Grenache, 23% Petite Sirah, 23% Syrah, 6% Carignane and 2% Mourvèdre. There's an ample amount of blackberry jam and chopped Italian herbs on the palate, with an asphalt character in the midpalate and a somewhat tart finish.",Red Blend
642,"Licorice and blackberry scents float off the surface of this estate wine. Once sipped, a thinner juiciness takes hold, with boysenberry and cracked pepper leading the way.",Cabernet Sauvignon
643,"Elegant and compact, it offers appealing flavors that call to mind a cherry popsickle—fruity, with palate-cleansing freshness. The wine does a gentle fade, perhaps more quickly than you'd wish.",Pinot Noir
644,"Hanzell took on a new barrel regime with the 2011 vintage, opening the door to several different coopers to taste over time. Additionally in 2011, the Pinot grapes came from both the Sessions and de Brye vineyards. The wine is marked by a bouquet of baked strawberry and cherry, the layers interwoven in oak and dust.",Pinot Noir
645,"There's a burly amount of black fruit and black tea in this estate wine, concentrated and coiled in a tight tannic structure. The fruit tends toward ripe black cherry and even blackberry, the texture is soft and the finish delightfully marked by a touch of chocolate.",Pinot Noir
646,"Floral, stony red-fruit aromas are the right set up for a tight, almost citric feeling palate. Flavors of cherry and red plum are narrow and quick-hitting, while the finish is bright, juicy and runs on acidity. This demands food; it's raw by itself.",Red Blend
647,"Crisp and young, this wine, from 50-year-old vines, is tangy and strongly mineral in texture. It is full of fresh fruit that reflects the of organic and biodynamic farming. The green fruits will fill out as it ages. Drink from 2017.",Chardonnay
648,"Dark in color, this bold, full-bodied wine is succulent and rich in blackberry and black cherry, with a dusting of cranberry and grilled mushroom. There's a balance of acid and tannin that provides substance and structure, with length on the finish.",Pinot Noir
649,"Quite buttery and nutty on the nose, this wine shows Marcona almonds, seared pineapple, crème brûlée and vanilla custard. Those elements meet with smart amounts of acid and texture on each creamy, buttery, pineapple-laced sip, which then finishes on marshmallow flavors.",Chardonnay
650,"The debut release for this producer is a bright garnet shade. Exhuberant and broad, the palate is bursting with cranberry, blue plum and Bing cherry flavors. Drink over the next year or two, while it is at its freshest.",Pinot Noir
651,"Steel and stones are brightened by tones of lemon and grapefruit in this dry-style wine. It's medium bodied but texturally quite rich, lending a satisfying sensation of volume that adds impact to the finish.",Riesling
652,The closed nose leads onto a compact palate that mixed red cherry notes with sandalwood oak spice. This is elegant and evolves beautifully in the glass. It will sing with earthy mushroom dishes.,Pinot Noir
653,"Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.",Chardonnay
654,"What jumps out immediately is a bright spicy scent. The forward fruit is a zesty mix of cranberry, guava and citrus, and the flavors just punch up the palate in a most delicious way. Drink this over the next couple of years while it retains its freshness.",Pinot Noir
655,"Damaged by hail in 2013, the vineyards yielded low quantities. The grapes harvested produced a wine with crisp red fruits and bright berry acidity. The fresh, tight aftertaste suggests the wine will age. Drink from 2019.",Pinot Noir
656,"From Old Wente clones grown on the famous vineyard, this full-bodied, textured wine shows ripe elements of golden honey, Gravenstein apple and toasted vanilla oak. Along the way, it flirts nicely with pear and marzipan, finishing in balanced minerality.",Chardonnay
657,"This wine comes from one of the best vineyard sites in Savigny-lès-Beaune, on the slope closest to Beaune. It is a smooth, perfumed and ripe wine that has a balanced structure under the bright red-cherry flavor. Still bursting with young fruit, the wine will age, so wait to drink until 2019.",Pinot Noir
658,"When a rosé pushes past 14% alcohol, that's an indication of a pretty potent wine. Here's a fine example, showcasing ripe strawberry and peach fruit, with excellent concentration and mouth-filling flavors. Using all free-run juice, this is fresh and full-bodied.",Pinot Noir
659,"Gentle spice and redcurrant notes promise a subtle wine. The palate does not disappoint and sings with translucent, light-footed elegance. This is all about charm and ease, about chiffon rather than velvet. Crisp freshness brightens and lightens everything. It's a mere whiff of a wine but a delicious one.",Pinot Noir
660,"This outgoing and full-bodied wine has a lot going for it. Fruity, enticing aromas lead to fully ripe flavors that suggest plums and fresh strawberries, with a suave and supple texture.",Pinot Noir
661,"This Oregon-based producer has sourced Petaluma Gap grapes to craft a light, clear and somewhat smoky and full-bodied expression of the variety. It's dense and rich in black cherry, currant and cola-vanilla.",Pinot Noir
662,"Made with 90% Cabernet Sauvignon and 10% Cabernet Franc, this boasts aromas of black currant, mature plum, black pepper and clove. The ripe palate delivers fleshy black cherry, blackberry, licorice and Mediterranean brush accompanied by firm, fine-grained tannins.",Red Blend
663,"This blend of 70% Cabernet Sauvignon, 25% Saperavi and 5% Rara Neagra has aromas of red raspberry, violet candy and black cherry. There are flavors of cherry vanilla and pomegranate with soft tannins and an elegant finish.",Red Blend
664,"This wine has a compelling earthy funkiness that's both varietal and fun, a tangle of red fruit, sassafras and cardamom that's light and bright. It makes a great companion to food.",Pinot Noir
665,"This is a robust, full-bodied and sultry wine, one within the producer's single-vineyard series, from a well-known and respected site. Oak and candied black cherry sit atop an abundance of cola spice and earthy truffle, promising more to come as it opens in the glass.",Pinot Noir
666,"This Bulgarian Pinot Noir offers the nose black and red cherries and dried violets. It is well balanced in the mouth with soft, rounded tannins and flavors of dark cherry, cranberry and dried Mediterranean herbs.",Pinot Noir
667,"Tire rubber, herb and locked-up barrel spice notes are followed by bountiful yet elegant black fruit flavors that show a spot on sense of balance along with exquisite length. There's no hiding the warm vintage it comes from but it shows the year well.",Cabernet Sauvignon
668,"Plump and succulent, the 2015 Hunting Hill displays attractive notes of hickory smoke and white peach, underscored by the suggestion of citrus custard. Like all of the 2015 Chardonnays from Kumeu River, it shows great length and intensity.",Chardonnay
669,"Toasty blackberry and prune are the key aromas on this plush Cabernet. A generous mouthfeel includes choppy tannins that will mellow in due time. Dark flavors of cassis and blackberry include spice and chocolate notes, while this finishes with ripe flavors of blackberry touched up by chocolaty oak. Drink this calm, slightly flabby Cab through 2021.",Cabernet Sauvignon
670,"Consistently one of New Zealand's top Chardonnay producers, Neudorf flies the standard for Nelson, almost next door to better-known Marlborough. The medium-bodied 2014 Chardonnay begins with appetizing scents of toast, oak spice and white peach. On the palate, there's a lovely combination of spice and stone fruit, then lingering citrus on the finish. Drink now–2020.",Chardonnay
671,"Aromatic and lushly scented with rhubarb, strawberry, cola, root beer and cocoa powder, this is immediately accessible, and yet structured to age if you can keep your hands off of it. Streaks of beet root sneak in around raspberry and cherry fruit, with firm tannins and highlights of toast, coffee, caramel and dark chocolate. This is a very fine cuvée that seems to gain focus as it rolls through the finish.",Pinot Noir
672,"Foley's Chardonnays always manage to be both extremely tense yet flavorful—a combination that will please many palates. This bottling recalls grapefruit, mandarin pith and Asian pear on the nose, its nervy, mineral-driven palate awash with chalk and wet slate notes. It all finishes on a pleasing twist of lime.",Chardonnay
673,"From a small 19-acre estate, this is a fruity and juicy blend of Braucol and the still rare Prunelard. It has a tannic stalky edge that suggests the wine can still develop. This serious concentrated wine was made in egg-shaped cement tanks and is from organic grapes. Drink from 2019.",Red Blend
674,"Soft and supple on the palate, this impressive wine is lightly spiced with dust and clove, its tannins rounded and in support of lingering cassis and red cherry flavors. Mocha and tobacco lend additional depth and complexity as it unfolds, punctuated by juicy acidity.",Cabernet Sauvignon
675,"Pure and vibrant dark and red cherry notes create an irresistible nose. The palate displays the same, invitingly juicy fruit. This is supple, slender, fresh and plump, with a joyful, balanced ripeness. Its tannins are smooth and ripe, ready to enjoy.",Red Blend
676,"This block selection hews closer to more conventional Oregon Pinots than the rest of the winery's portfolio, with powerful focused black-cherry fruit at its heart. It was fermented with native yeast and spent 17 months in barrel, 12% new. Those flavors come through in deft touches of graham cracker and cocoa powder, underscored with a wet-cement minerality.",Pinot Noir
677,"Dark in color and offering opulent aromas of crème brûlée and marshmallow, this vineyard-designate is marked by its wealth of orange blossom aromas, an inviting, floral entry. While it exudes richness on the nose, it remains much more restrained and dry on the palate, finishing with leanness and length.",Chardonnay
678,"Sanguine in red plum, clove and dark chocolate, this bottle-aged, full-bodied wine is impressive and still quite ripe and robust. The tannins are prominent and supported by a girth of oak, with a dense, concentrated finish.",Cabernet Sauvignon
679,"This wine has a bouquet of cassis, violet and black pepper. Well-integrated flavors of cassis, strawberry preserves, anise, fennel bulb and lavender are set amid silky tannins that feel as if they may go on forever but are surpassed at the finish when fruit flavors pull out all the stops.",Cabernet Sauvignon
680,"This spent 18 months in 50% new French oak, which underscores its pretty berry/cherry fruit with a vein of dark chocolate. Dr Pepper and spicy herbs decorate a solid midpalate that flows into a lengthy finish with confectionary highlights.",Pinot Noir
681,"Succulent in red cherry and cassis, this wine has a surprising level of depth and grip. It finds its way with integrated tannins, soft layers of caramelized oak and a brightness of fruit and acidity.",Cabernet Sauvignon
682,"A red-violet color, this wine has a bouquet of blackberry, lilac and pencil lead with a whiff of iodine. A network of velvety tannins and a vein of bold acidity are equally weighted, wrapped around flavors of blackberry, blueberry, black pepper, rose petal and Mediterranean herbs, with bright fruit persisting into the pleasing finish.",Cabernet Sauvignon
683,"This low-alcohol rosé spent five months in neutral oak, yielding additional complexity and an appealing creaminess to the finish. Strawberry and cherry flavors are accompanied by lighter hints of peaches and sweet spices. It's a thoroughly modern, delicious rosé.",Pinot Noir
684,"This is definitely a light vintage for this vineyard-designate. It deftly mixes cranberry and raspberry fruit with hints of wet stone. Proportionate, drying tannins line the finish.",Pinot Noir
685,"Winemaker Nick Goldschmidt does wonders with this consistent vineyard source, coaxing out mocha-chocolate, black cherry and blackberry, never overpowering an earthy back note of tobacco. Medium-bodied and soft, it finishes in a swirl of smoke and is juicy and enjoyable now.",Cabernet Sauvignon
686,"Enticing notes of brioche and baker's yeast waft from this brut-style Riesling Sekt. It's perfumed and floral, yet elegantly composed, drenching the palate in waves of fresh grapefruit and lime. Piercing and pristine, it finishes with crystalline precision.",Riesling
687,"A few swirls of the glass release engaging aromas of baking spice, red berry, rose and a whiff of tar. The linear, elegantly structured palate boasts bright wild cherry, white pepper, cinnamon and a mineral note alongside vibrant acidity and assertive but refined tannins. It's still rather austere but should blossom into a beauty after a few more years in the cellar. Enjoy after 2019.",Red Blend
688,"Lifted honeysuckle and jasmine perfume abound throughout this textbook Mosel Kabinett. Sun-kissed apricots and peaches burst on the palate, yet maintain a graphite edge of minerality and acidity. It's a crystalline fruity wine that's irresistible now for its youthful exuberance.",Riesling
689,"Wild berries, from elderberry to salmonberry to mountain strawberries, are in play in this wine. The underpinning scents suggest earth and wet cement, while in the finish a strong flavor of breakfast tea lingers. This is an interesting addition to the Sineann lineup.",Pinot Noir
